experiment,family,contrast,method,initialization,interior_points,reference_grid_size,runs,feasible_runs,feasibility_rate,solver_success_rate,median_evaluated_cost_s,median_clearance_m,median_stationarity_norm,median_actual_interior_points,mean_reference_difference_percent,median_reference_difference_percent,bootstrap_95_low_percent,bootstrap_95_high_percent,median_runtime_s,reference_unresolved_runs,failure_modes,termination_modes
baseline,competing_corridors,,euler_lagrange,arc_left,128,,20,18,0.9,0.3,1614.5753441016855,67.75461171990696,3224.9393171948586,128.0,30.57696300161727,30.908176769890986,18.96787011105451,42.920238030286484,1.1248383865167852,0,stagnated:14; stationary:1,stagnated:14; stationary:6
baseline,competing_corridors,,euler_lagrange,arc_left,32,,20,16,0.8,0.2,1606.8751590186882,67.91110703865006,3193.6013564328405,32.0,30.083526336246614,29.607120857704995,17.757966836210787,44.91226069652276,0.9729266010108404,0,stagnated:16,stagnated:16; stationary:4
baseline,competing_corridors,,euler_lagrange,arc_left,64,,20,16,0.8,0.3,1574.274542783596,68.20034499192906,2844.325211004081,64.0,27.469962636638485,29.791768227152023,17.720392777168783,37.885655007865275,0.9718446860206313,0,stagnated:14; stationary:2,stagnated:14; stationary:6
baseline,competing_corridors,,euler_lagrange,arc_right,128,,20,20,1.0,1.0,1282.5248302175041,59.11855373609296,1.0154928501978174e-09,128.0,4.311245320225492,-0.012417967617192664,1.5025375153730995,7.545776361440832,1.0001763869950082,0,,stationary:20
baseline,competing_corridors,,euler_lagrange,arc_right,32,,20,20,1.0,1.0,1282.8889703473965,59.13915877326984,2.706434981728182e-10,32.0,4.341595718998823,0.010876426429352968,1.5309788861404148,7.57785384303137,0.8455324835376814,0,,stationary:20
baseline,competing_corridors,,euler_lagrange,arc_right,64,,20,20,1.0,1.0,1282.599111223838,59.11775216361919,5.533457469332931e-10,64.0,4.317425405302951,-0.00781116491516255,1.5083351570625474,7.552296364957326,0.9146283305017278,0,,stationary:20
baseline,competing_corridors,,euler_lagrange,barrier,128,,20,1,0.05,0.4,2017.712473231428,12.064410272094847,774.1569192471984,128.0,67.73553305796405,67.73553305796405,,,1.3126266875187866,0,stagnated:12; stationary:8,stagnated:12; stationary:8
baseline,competing_corridors,,euler_lagrange,barrier,32,,20,3,0.15,0.15,1515.977449306502,11.166696526787746,2979.2815367143344,32.0,24.541584663986196,28.571655562609056,7.557920816237356,37.49517761311217,1.077036227507051,0,stagnated:17; stationary:3,stagnated:17; stationary:3
baseline,competing_corridors,,euler_lagrange,barrier,64,,20,3,0.15,0.1,2009.4150601260867,14.739737762774256,2890.8142666854674,64.0,56.35869636706861,67.9921188171956,23.9716829693232,77.11228731468701,1.1317261479853187,0,stagnated:18; stationary:2,stagnated:18; stationary:2
baseline,competing_corridors,,euler_lagrange,fast_marching,128,,20,20,1.0,1.0,1230.213840437259,69.52811542072293,1.323942676205173e-09,128.0,-0.06380350834185879,-0.03642739389848046,-0.08491548730509711,-0.04315329582888759,5.190691802476067,0,,stationary:20
