case_id,initialization,interior_points,seed_hash_match,euler_feasible,slsqp_feasible,slsqp_minus_euler_percent
competing_corridors-s00,arc_left,32,True,True,True,-0.004980013555816758
competing_corridors-s00,arc_left,64,True,True,True,-0.0008387824751878777
competing_corridors-s00,arc_left,128,False,True,False,
competing_corridors-s00,arc_right,32,True,True,True,0.0013134734506668638
competing_corridors-s00,arc_right,64,True,True,True,0.000368952565119635
competing_corridors-s00,arc_right,128,False,True,False,
competing_corridors-s00,barrier,32,True,False,True,
competing_corridors-s00,barrier,64,True,False,True,
competing_corridors-s00,barrier,128,False,False,False,
competing_corridors-s00,fast_marching,32,True,True,True,-0.004980029280251933
competing_corridors-s00,fast_marching,64,True,True,True,-0.0008387727786919288
competing_corridors-s00,fast_marching,128,False,True,False,
competing_corridors-s00,straight,32,True,False,False,
competing_corridors-s00,straight,64,False,False,False,
competing_corridors-s00,straight,128,False,False,False,
competing_corridors-s01,arc_left,32,True,True,True,-22.259326051609538
competing_corridors-s01,arc_left,64,True,True,True,-20.551443746449152
competing_corridors-s01,arc_left,128,False,True,False,
competing_corridors-s01,arc_right,32,True,True,True,0.005456638804925483
competing_corridors-s01,arc_right,64,True,True,True,0.0014479730722861204
competing_corridors-s01,arc_right,128,False,True,False,
competing_corridors-s01,barrier,32,True,False,True,
competing_corridors-s01,barrier,64,True,True,True,-37.55246779117562
competing_corridors-s01,barrier,128,False,False,False,
competing_corridors-s01,fast_marching,32,True,True,True,0.005456606617693366
competing_corridors-s01,fast_marching,64,True,True,True,0.001447968748939534
competing_corridors-s01,fast_marching,128,False,True,False,
competing_corridors-s01,straight,32,True,False,True,
competing_corridors-s01,straight,64,True,False,False,
competing_corridors-s01,straight,128,False,False,False,
competing_corridors-s02,arc_left,32,True,True,True,-23.259650091646193
competing_corridors-s02,arc_left,64,True,True,True,-23.178722484637913
competing_corridors-s02,arc_left,128,False,True,False,
competing_corridors-s02,arc_right,32,True,True,True,-0.002429694517242754
competing_corridors-s02,arc_right,64,True,True,True,-0.00045299100891521874
competing_corridors-s02,arc_right,128,False,True,False,
competing_corridors-s02,barrier,32,True,False,True,
competing_corridors-s02,barrier,64,True,False,True,
competing_corridors-s02,barrier,128,False,False,False,
competing_corridors-s02,fast_marching,32,True,True,True,-0.017403662989883193
competing_corridors-s02,fast_marching,64,True,True,True,-0.002684386452754018
competing_corridors-s02,fast_marching,128,False,True,False,
competing_corridors-s02,straight,32,True,False,False,
competing_corridors-s02,straight,64,False,False,False,
competing_corridors-s02,straight,128,False,False,False,
competing_corridors-s03,arc_left,32,True,True,True,-13.344454345710544
competing_corridors-s03,arc_left,64,True,True,True,-14.174564303541596
competing_corridors-s03,arc_left,128,False,True,False,
competing_corridors-s03,arc_right,32,True,True,True,0.00116030828323146
competing_corridors-s03,arc_right,64,True,True,True,0.0005742412480186204
competing_corridors-s03,arc_right,128,False,True,False,
competing_corridors-s03,barrier,32,True,True,True,-7.0904100894248066
competing_corridors-s03,barrier,64,True,True,True,-19.421655065858907
competing_corridors-s03,barrier,128,False,False,False,
competing_corridors-s03,fast_marching,32,True,True,True,0.004272536788969612
competing_corridors-s03,fast_marching,64,True,True,True,0.0013576833242123706
competing_corridors-s03,fast_marching,128,False,True,False,
competing_corridors-s03,straight,32,True,False,True,
competing_corridors-s03,straight,64,False,False,False,
competing_corridors-s03,straight,128,False,False,False,
competing_corridors-s04,arc_left,32,True,False,True,
competing_corridors-s04,arc_left,64,True,False,True,
competing_corridors-s04,arc_left,128,False,True,False,
competing_corridors-s04,arc_right,32,True,True,True,0.002398480569533577
competing_corridors-s04,arc_right,64,True,True,True,0.0006807107452634627
competing_corridors-s04,arc_right,128,False,True,False,
competing_corridors-s04,barrier,32,True,False,True,
competing_corridors-s04,barrier,64,True,False,True,
competing_corridors-s04,barrier,128,False,False,False,
competing_corridors-s04,fast_marching,32,True,True,True,0.002398470376988725
competing_corridors-s04,fast_marching,64,True,True,True,0.0006807035900574682
competing_corridors-s04,fast_marching,128,False,True,False,
competing_corridors-s04,straight,32,True,False,True,
competing_corridors-s04,straight,64,False,False,False,
competing_corridors-s04,straight,128,False,False,False,
competing_corridors-s05,arc_left,32,True,True,True,-43.18646051498672
competing_corridors-s05,arc_left,64,True,False,True,
competing_corridors-s05,arc_left,128,False,False,False,
competing_corridors-s05,arc_right,32,True,True,True,0.004523356035480517
competing_corridors-s05,arc_right,64,True,True,True,0.0012731603951453517
competing_corridors-s05,arc_right,128,False,True,False,
competing_corridors-s05,barrier,32,True,False,True,
competing_corridors-s05,barrier,64,True,False,True,
competing_corridors-s05,barrier,128,False,False,False,
competing_corridors-s05,fast_marching,32,True,True,True,0.004523348735516632
competing_corridors-s05,fast_marching,64,True,True,True,0.0012731578737388751
competing_corridors-s05,fast_marching,128,False,True,False,
competing_corridors-s05,straight,32,True,False,True,
competing_corridors-s05,straight,64,True,False,False,
competing_corridors-s05,straight,128,True,False,False,
competing_corridors-s06,arc_left,32,True,True,True,-0.003215979812784166
competing_corridors-s06,arc_left,64,True,True,True,-0.0004293143376672655
competing_corridors-s06,arc_left,128,False,True,False,
competing_corridors-s06,arc_right,32,True,True,True,0.0017581420472596988
competing_corridors-s06,arc_right,64,True,True,True,0.00047627371451004384
